epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.758,1.35441,2.85751,1.66756,0.20896,0.06584,0.12223,0.07084,1.48101,3.26637,2.06929,0.0672185,0.000331126,0.000331126
2,46.8268,1.35484,2.24044,1.67504,0.41676,0.67626,0.57186,0.35645,1.30084,1.91015,1.86237,0.0342179,0.00066381,0.00066381
3,69.8231,1.31278,2.02083,1.61936,0.46203,0.69946,0.66962,0.4025,1.26171,2.36457,1.84433,0.00121465,0.000993898,0.000993898
4,92.8019,1.34776,1.86725,1.63515,0.51682,0.66296,0.67966,0.37874,1.45986,1.75068,2.01048,0.000991232,0.000991232,0.000991232
5,115.847,1.31383,1.79339,1.61783,0.59807,0.76968,0.77212,0.50349,1.19566,1.6093,1.75099,0.000984449,0.000984449,0.000984449
6,138.947,1.25212,1.69166,1.56389,0.6548,0.77437,0.85362,0.54191,1.22192,1.49983,1.79052,0.000975773,0.000975773,0.000975773
7,162.288,1.24037,1.66194,1.55347,0.67702,0.7859,0.79233,0.52125,1.22374,1.37297,1.75293,0.000965239,0.000965239,0.000965239
8,184.571,1.25303,1.62821,1.56693,0.71477,0.82419,0.84513,0.5557,1.17372,1.36818,1.70665,0.000952889,0.000952889,0.000952889
9,206.859,1.21203,1.54997,1.52889,0.58011,0.72533,0.79056,0.50245,1.30764,1.58909,1.86279,0.000938772,0.000938772,0.000938772
10,229.163,1.2133,1.56146,1.51891,0.91073,0.74663,0.91353,0.57995,1.2499,1.16587,1.80594,0.000922942,0.000922942,0.000922942
11,251.498,1.18878,1.44929,1.48498,0.87192,0.82014,0.89807,0.61772,1.12961,1.08101,1.67141,0.000905463,0.000905463,0.000905463
12,273.853,1.15838,1.38173,1.4773,0.83956,0.89944,0.91148,0.61261,1.13211,0.99822,1.68114,0.000886404,0.000886404,0.000886404
13,296.169,1.17773,1.40181,1.50028,0.85516,0.88974,0.93784,0.65998,1.07065,0.92278,1.61772,0.000865839,0.000865839,0.000865839
14,318.536,1.13084,1.37606,1.45332,0.81134,0.81852,0.88158,0.61318,1.08798,1.07527,1.64134,0.000843851,0.000843851,0.000843851
15,340.87,1.14357,1.34415,1.47547,0.88404,0.8667,0.95295,0.67329,1.06117,0.90917,1.59427,0.000820525,0.000820525,0.000820525
16,363.22,1.10667,1.30085,1.43625,0.84465,0.86694,0.9432,0.67982,1.02551,0.90958,1.5683,0.000795954,0.000795954,0.000795954
17,385.571,1.09599,1.24789,1.43707,0.91058,0.87437,0.94803,0.69696,1.00417,0.8186,1.5467,0.000770234,0.000770234,0.000770234
18,407.948,1.06288,1.18903,1.40588,0.79815,0.9044,0.94657,0.68972,1.00196,0.92828,1.54023,0.000743468,0.000743468,0.000743468
19,430.271,1.085,1.1901,1.42047,0.85499,0.81007,0.90812,0.64524,1.05613,1.00482,1.58968,0.000715761,0.000715761,0.000715761
20,452.608,1.05805,1.17884,1.39693,0.82707,0.91345,0.94072,0.68377,1.02582,0.87872,1.56245,0.000687222,0.000687222,0.000687222
21,474.962,1.00229,1.13769,1.36924,0.84878,0.86952,0.95535,0.70609,1.00572,0.88772,1.54562,0.000657963,0.000657963,0.000657963
22,497.331,1.05278,1.14034,1.41593,0.93048,0.93095,0.96807,0.72219,0.99271,0.73851,1.53193,0.000628101,0.000628101,0.000628101
